cell.id,area,gfpMeanBgAFsub,mcherryMeanBgAFsub,degron,red,treatment,experiment,exp.field,Elip_B,Elip_C,no.of.voxels,pos.x,pos.y,spheracity,volume,area.puncta,pos.x.puncta,pos.y.puncta,rfp.mean.bg.sub,dapi.mean.bg.sub,rfp.mean.bg.sub.puncta,dapi.mean.bg.sub.puncta,no.bud.scars
1000002192_20min_s6_mODC.3_tef2-mCherry_none,1223.37,149.21704444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,14.6528,15.3833,561,98.4216,731.372,0.410626,1058.72,NA,NA,NA,403.06500000000005,649.16425,NA,NA,0
1000002193_20min_s6_mODC.3_tef2-mCherry_none,2336.3,83.48404444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,18.7864,23.3084,1097,83.3733,760.895,0.339987,2105.03,NA,NA,NA,481.307,665.8242500000001,NA,NA,0
1000002194_20min_s6_mODC.3_tef2-mCherry_none,1665.78,55.07904444444446,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,16.38,18.8483,775,53.8523,782.869,0.3762,1475.12,82.4783,45.8462,777.077,496.1170000000001,592.93425,505.547,1148.10425,1
1000002195_20min_s6_mODC.3_tef2-mCherry_none,1625.57,41.21904444444445,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,16.2909,18.6097,755,685.859,153.675,0.37865,1435.95,NA,NA,NA,575.7710000000001,533.97225,NA,NA,0
1000002196_20min_s6_mODC.3_tef2-mCherry_none,3840.71,87.22004444444443,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,23.2207,31.4667,1827,808.456,51.3637,0.292384,3538.52,582.332,821.467,68.2699,371.55000000000007,985.65425,367.729,3035.13425,2
1000002197_20min_s6_mODC.3_tef2-mCherry_none,2711.67,48.66704444444443,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,21.4871,23.8134,1282,204.753,647.477,0.325585,2466.75,NA,NA,NA,372.00200000000007,200.11125000000004,NA,NA,0
1000002198_20min_s6_mODC.3_tef2-mCherry_none,4438.98,119.41704444444444,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,26.6973,31.8332,2122,544.09,325.772,0.279769,4115.26,323.508,560.722,314.825,421.75,1138.73425,442.7990000000001,1990.84425,3
1000002199_20min_s6_mODC.3_tef2-mCherry_none,2708.74,11.018044444444428,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,21.2208,24.157,1279,41.6572,822.847,0.325481,2461.58,NA,NA,NA,457.0880000000001,323.55425,NA,NA,0
1000002200_20min_s6_mODC.3_tef2-mCherry_none,1725.48,148.94804444444443,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,15.7556,20.3427,803,336.159,519.46,0.372049,1529.46,NA,NA,NA,532.385,466.9522500000001,NA,NA,0
1000002203_20min_s6_mODC.3_tef2-mCherry_none,1881.66,48.968044444444416,NA,mODC.3,tef2-mCherry,none,20min,20min_s6,17.9909,19.5955,878,701.973,76.8941,0.362409,1674.49,NA,NA,NA,579.177,1694.89425,NA,NA,0
