cell.id,f,dy,dm,value,degron,red,treatment,model,aic,exp.field,colony,gfp.mean.bg.af.sub.new,area,Elip_B,Elip_C,no.of.voxels,pos.x,pos.y,spheracity,rfp.mean.bg.sub.puncta,rfp.sum.bg.sub.puncta,dapi.sum.bg.sub.puncta,dapi.mean.bg.sub.puncta
1000000192_20min_s4_mODC_pup1-rfp_2.5uM,0,0.05604508343265212,7.231389909570941,0.05478494177003523,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-190.4881404872527,20min_s4,1,278.866,2675.33,19.2347,26.584,1259,1077.85,76.9591,0.325371,163.14600000000002,38339.225,-683.1999999999971,-2.9069999999999823
1000000192_20min_s5_mODC_pup1-rfp_1uM,0.07685845279727667,0.0641443927079511,125.0445795916846,0.04322147105719532,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-197.83755799074095,20min_s5,2,171.21280000000002,2982.25,21.1561,26.723,1410,572.331,566.35,0.315738,131.9936,15311.2936,3693.6399999999994,31.841999999999985
1000000192_20min_s6_mODC_pup1-rfp_dmso2,0,0.08234076884084554,431.41629815397306,0.02686604825687022,yeGFP-mODC,pup1-rfp,DMSO,dy.dm.f.0.1,-212.57725335928453,20min_s6,2,210.48412026286604,2781.48,20.4272,25.7208,1313,217.337,272.495,0.322286,176.24,27317.27,2904.4950000000026,18.739000000000004
1000000192_20min_s7_mODC_pup1-rfp_2.5uM,0,0.04119519506765148,98.62658746361156,0.03194548384041233,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-207.20906156795832,20min_s7,3,175.40499999999997,2300.09,18.2744,23.5578,1079,618.491,401.386,0.341482,159.573,47552.702,6267.010000000002,21.03
1000000192_20min_s7_mODC_pup1-rfp_5uM,0.1,0.0170623614041461,5.6871094114794465,0.00289468159014152,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-281.64488830338837,20min_s7,3,263.27275,4077.16,24.0823,32.3508,1945,246.447,802.859,0.28712,169.053,47334.84,6202.5999999999985,22.151999999999987
1000000192_20min_s8_mODC_pup1-rfp_5uM,0.1,0.02483169584878261,369.3781811705449,0.02603882389932314,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-213.54676880140704,20min_s8,3,578.37375,2919.54,20.6108,26.8432,1381,360.745,830.52,0.317848,158.34999999999997,39587.5,2784.75,11.138999999999982
1000000193_20min_s3_mODC_pup1-rfp_2.5uM,0,0.03427256201632536,1.8671662305525365,0.02899835611764513,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-210.2096035612642,20min_s3,1,394.729,2653.31,21.1677,23.7255,1252,132.914,945.165,0.327328,180.817,49362.941000000006,1558.6339999999982,5.708999999999975
1000000193_20min_s4_mODC_pup1-rfp_5uM,0.1,0.02222069350005239,116.00624015866296,0.03824036155548149,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-201.63337915320668,20min_s4,1,457.42675,2152.45,16.9339,24.2734,1006,543.215,495.678,0.347537,131.161,18231.36,4631.633000000002,33.321
1000000193_20min_s5_mODC_pup1-rfp_2.5uM,0.1,0.01941569262476478,3307.718596621691,0.09408816073701114,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-173.72281807708495,20min_s5,2,384.461,3339.86,23.5161,26.9013,1585,417.804,685.395,0.305377,208.12275,52863.140499999994,13398.148,52.748999999999995
1000000193_20min_s8_mODC_pup1-rfp_5uM,0.1,0.02397079158728394,698.4513939867091,0.02971336310163143,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-209.4545136857971,20min_s8,3,453.8337499999999,2413.34,20.2113,22.4692,1135,1083.43,108.396,0.336581,124.145,16511.314,-222.78499999999983,-1.6750000000000114
1000000194_20min_s4_mODC_pup1-rfp_2.5uM,0,0.04980315981643805,1.3151401612742353,0.08365769600035289,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-177.3652807940096,20min_s4,1,175.741,2024.25,15.5738,24.3444,946,668.846,478.151,0.354016,161.671,26352.305,6874.840000000004,42.17700000000002
1000000194_20min_s5_mODC_pup1-rfp_1uM,0.1,0.04252020442130638,187.98117254162943,0.02874133998656541,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-210.4855853631896,20min_s5,2,281.21080000000006,3247.17,22.9064,26.858,1540,821.825,324.571,0.308195,122.1146,18805.6484,3003.66,19.50399999999999
1000000194_20min_s6_mODC_pup1-rfp_dmso2,0,0.12750375260313443,0.21892983103491467,0.10348367956370434,yeGFP-mODC,pup1-rfp,DMSO,dy.dm.f.0.1,-170.7721856256806,20min_s6,2,93.173120262866,3515.32,23.2115,28.7774,1672,97.1752,408.708,0.300661,147.325,26665.754,1290.0490000000027,7.1270000000000095
1000000194_20min_s7_mODC_pup1-rfp_1uM,0.1,0.0590118027519119,658.4900685755679,0.0906537851110621,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-174.87553854933637,20min_s7,3,272.05899999999997,3789.01,25.9053,27.7959,1803,761.448,491.496,0.29378,176.526,48014.944,4744.112000000001,17.442000000000007
1000000194_20min_s7_mODC_pup1-rfp_5uM,0,0.04139663294301191,7.076609151007463,0.01907276741141217,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-223.19790962976393,20min_s7,3,366.6197499999999,2999.69,22.967,24.6974,1422,365.174,680.094,0.315748,118.412,21432.543,5346.019999999997,29.536
1000000194_20min_s8_mODC_pup1-rfp_2.5uM,0.1,0.02089163456391632,70.08433959312912,0.03438770224802625,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-204.92534774960305,20min_s8,3,385.707,2661.67,21.3088,23.6198,1257,485.213,510.868,0.327203,121.804,19001.372,3365.3719999999994,21.573000000000008
1000000194_20min_s8_mODC_pup1-rfp_dmso2,0,0.08560492652546862,0.7983113653781166,0.0051671987801063,yeGFP-mODC,pup1-rfp,DMSO,dy.dm.f.0.1,-263.68176467827345,20min_s8,3,383.9121202628661,3253.57,21.8546,28.2513,1544,363.82,741.93,0.307684,191.774,65395.01,16338.364,47.91299999999998
1000000195_20min_s4_mODC_pup1-rfp_5uM,0.0126970626195095,0.01400603790877474,0.25321255993614644,0.00665917464255,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-255.81815495833015,20min_s4,1,249.62175,3362.07,22.6153,28.1673,1596,491.966,557.704,0.304756,191.7,55401.36,8521.682999999997,29.486999999999995
1000000195_20min_s6_mODC_pup1-rfp_2.5uM,0.1,0.01098950640453147,150.47447948918355,0.07133979307018151,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-182.30293432880393,20min_s6,2,465.84399999999994,3044.82,22.7723,25.3041,1442,49.1089,915.775,0.314025,159.679,37205.213,1544.3499999999983,6.627999999999986
1000000195_20min_s7_mODC_pup1-rfp_1uM,0.1,0.05747772431200233,241.2739130513334,0.08357454545211662,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-177.39610818931757,20min_s7,3,237.7959999999999,3280.28,21.7352,28.5545,1555,811.172,374.979,0.306736,123.739,19922.022,2536.956000000002,15.757000000000003
1000000195_20min_s7_mODC_pup1-rfp_5uM,0.1,0.02761672065135303,98.46090437459738,0.00879062402497661,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-247.2097602323119,20min_s7,3,420.02175,3648.43,22.6855,30.8149,1737,522,529.459,0.297069,199.127,53166.801,7153.139999999999,26.790999999999997
1000000195_20min_s8_mODC_pup1-rfp_2.5uM,0.1,0.0881300545211936,12937.529504322842,0.27919437139487396,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-140.00486244882546,20min_s8,3,83.03000000000003,2254.58,18.197,23.4199,1059,378.643,618.467,0.343404,121.313,15164.125,2300.125,18.40100000000001
1000000196_20min_s3_mODC_pup1-rfp_2.5uM,0,0.06104698764977175,3.2443168244762153,0.1337029519622894,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-162.82977953869928,20min_s3,1,101.11,1914.43,16.7482,21.4186,895,816.527,260.08,0.360777,139.997,24499.475,5280.149999999994,30.171999999999997
1000000196_20min_s4_mODC_pup1-rfp_2.5uM,0,0.06615163372258633,0.5029695442784982,0.07822416805636932,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-179.44707870626098,20min_s4,1,200.004,2881.48,21.1034,25.7997,1363,224.728,930.731,0.319266,161.55600000000004,35703.935,3557.279999999999,16.096000000000004
1000000196_20min_s4_mODC_pup1-rfp_5uM,0.02121056382091877,0.02096160447252472,0.672045139547012,0.00286310293323106,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-281.9849316571769,20min_s4,1,383.86475,3838,23.7654,30.6833,1828,684.974,369.646,0.292655,210.334,58052.24,8558.372000000003,31.009000000000015
1000000196_20min_s6_mODC_pup1-rfp_1uM,0.1,0.03948637945449006,54.180895098811384,0.03629786248565093,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-203.2494924873149,20min_s6,2,291.51324999999997,3322.48,21.9305,28.777,1576,720.562,445.235,0.305603,125.561,23605.556,5859.375,31.167249999999996
1000000196_20min_s7_mODC_pup1-rfp_1uM,0.1,0.04069620769233244,4491.028080773157,0.1519166988377598,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-158.870714551067,20min_s7,3,223.22799999999995,1679.11,12.9864,24.3985,762,144.223,1030.46,0.372338,176.144,21137.24,983.5200000000004,8.195999999999998
1000000196_20min_s7_mODC_pup1-rfp_5uM,0,0.0314882858110272,3.793790969332797,0.0292703628277893,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-209.9201765953656,20min_s7,3,386.40075,2300.45,18.899,22.8526,1080,275.254,770.487,0.341648,136.84300000000002,23126.507,3265.9799999999996,19.32499999999999
1000000197_20min_s3_mODC_pup1-rfp_2.5uM,0,0.0649330342955418,0.5536576398703451,0.03437248253037698,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-204.9390711349125,20min_s3,1,409.355,3084.04,23.7365,24.6257,1461,639.034,448.007,0.312973,191.07800000000003,54075.111,8733.214,30.85899999999998
1000000197_20min_s3_mODC_pup1-rfp_5uM,0,0.021845335840555,0.27613552793762525,0.01166081171349978,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-238.45076938209493,20min_s3,1,500.86075000000005,2828.05,22.3701,24.0072,1337,373.65,462.173,0.320916,186.955,55525.535,10427.262000000002,35.10900000000001
1000000197_20min_s4_mODC_pup1-rfp_5uM,0.1,0.02073957400485566,60.10577489601665,0.00501557146434104,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-264.6050486434345,20min_s4,1,632.74375,2713.73,22.1155,23.1549,1282,86.8222,964.74,0.325192,148.113,24438.6,1023.2549999999974,6.201999999999998
1000000197_20min_s5_mODC_pup1-rfp_1uM,0,0.06530608280818107,0.895803031419552,0.03054279998436757,yeGFP-mODC,pup1-rfp,1uM,dy.dm.f.0.1,-208.60101866593095,20min_s5,2,282.2908,1873.24,18.3412,19.0216,874,850.617,300.076,0.363118,118.9426,15224.6688,2315.119999999999,18.08699999999999
1000000197_20min_s5_mODC_pup1-rfp_dmso2,0,0.11025184707056046,1.411212508731059,0.03142952047595913,yeGFP-mODC,pup1-rfp,DMSO,dy.dm.f.0.1,-207.71384157957837,20min_s5,2,184.32612026286603,3580.81,25.1845,27.159,1703,53.0784,259.9,0.298876,108.846,14258.797,1305.2589999999982,9.964
1000000197_20min_s7_mODC_pup1-rfp_5uM,0.1,0.01924137383777416,1.1321588186812412,0.00643943438043257,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-256.8583550663416,20min_s7,3,522.7747499999999,3648.63,23.3436,30.5216,1733,451.099,611.962,0.296581,197.183,63689.969,9653.659999999996,29.887
1000000198_20min_s4_mODC_pup1-rfp_2.5uM,0,0.03058593041486277,2885.4995166391054,0.0403723837055918,yeGFP-mODC,pup1-rfp,2.5uM,dy.dm.f.0.1,-199.9514916204526,20min_s4,1,177.35000000000002,3045.9,23.1343,24.9534,1445,889.423,196.222,0.314365,134.399,25401.415,7593.520000000004,40.17700000000002
1000000198_20min_s4_mODC_pup1-rfp_5uM,0,0.03370327360856094,0.7519452928733511,0.0127410406538573,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-235.7043387331724,20min_s4,1,862.2857500000001,1598.14,15.8246,18.7122,742,427.214,618.576,0.380336,170.539,35983.64,6014.817000000003,28.506
1000000198_20min_s7_mODC_pup1-rfp_5uM,0.1,0.02448688518972365,102.078927971636,0.03502854736066552,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-204.35295258218449,20min_s7,3,575.3567499999999,2367.34,18.6581,23.904,1112,665.142,399.595,0.33827,92.27,2768.09,686.5999999999995,22.887
1000000198_20min_s8_mODC_pup1-rfp_5uM,0,0.03829688937705751,0.3910258045921213,0.01421582007903907,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-232.30899851666535,20min_s8,3,494.39175,2771.43,20.4719,25.5558,1309,778.924,421.351,0.322913,162.85199999999998,33710.406,4367.485000000001,21.09899999999999
1000000199_20min_s4_mODC_pup1-rfp_5uM,0.1,0.02912502121492328,104.05130762514445,0.00641115948404106,yeGFP-mODC,pup1-rfp,5uM,dy.dm.f.0.1,-256.9947726065528,20min_s4,1,487.78775,3137.32,23.352,25.51,1486,657.347,403.46,0.311284,189.327,47899.72,8806.591,34.809
